SMSA_name,Per_capita_Retail_sales ,Per_capita_Retail_Establishments,Per_capita_income,Per_capita_federal_expenditures,Males_per_100_females 
"Acadia, LA",3.672,0.882,12.364,3.872,91
"Ada, ID",9.251,1.152,21.384,3.861,97
"Adams, CO",7.489,0.911,16.718,3.507,99
"Adams, IN",7.822,1.216,15.772,2.47,96
"Aiken, SC",6.451,1.032,18.474,19.201,94
"Alachua, FL",8.24,1.052,17.505,3.862,96
"Alamance, NC",8.581,1.277,17.676,2.714,91
"Alameda, CA",7.632,0.968,23.727,5.613,97
"Albany, NY",10.638,1.115,23.539,14.282,90
"Albemarle, VA",3.166,0.494,35.369,1.863,96
"Alexander, NC",3.795,0.922,15.903,2.181,99
"Alexandria, VA",12.109,1.199,32.508,16.978,91
"Allegan, MI",5.263,0.999,17.419,2.04,97
"Allegany, MD",7.68,1.215,15.923,5.236,89
"Allegheny, PA",8.29,0.969,23.539,5.336,88
"Allen, IN",8.874,1.021,20.754,3.886,94
"Allen, OH",9.063,1.155,17.319,5.017,99
"Amherst, VA",5.513,0.797,14.02,2.55,93
"Anchorage, AK",10.643,1.04,25.246,6.775,107
"Anderson, SC",7.171,1.15,15.863,2.715,92
"Anderson, TN",8.421,1.075,18.342,33.439,91
"Andrew, MO",3.59,0.807,15.395,2.535,95
"Androscoggin, ME",9.126,1.127,17.542,3.389,94
"Anne Arundel, MD",8.772,0.98,22.745,5.131,102
"Anoka, MN",7.372,0.753,17.899,1.854,101
"Arapahoe, CO",11.715,1.033,24.991,2.6,95
"Archer, TX",2.619,1.202,17.378,4.47,100
"Arlington, VA",9.226,0.916,32.884,26.278,97
"Ascension, LA",7.026,0.918,16.458,2.338,96
"Ashtabula, OH",5.663,1.086,15.163,3.096,94
"Atlantic, NJ",9.098,1.215,24.193,4.446,93
"Auglaize, OH",6.319,1.054,17.907,2.611,95
"Autauga, AL",6.459,0.98,15.754,2.821,95
"Baldwin, AL",7.92,1.336,16.935,3.041,95
"Baltimore city, MD",4.503,0.819,19.544,8.251,88
"Baltimore, MD",9.783,1,24.906,4.067,92
"Bannock, ID",7.767,1.128,14.931,2.979,99
"Barnstable, MA",11.648,1.947,22.945,5.158,90
"Barrow, GA",6.377,1.033,15.011,2.331,96
"Bartow, GA",5.993,0.922,15.187,1.996,97
"Bastrop, TX",5.181,1.009,14.354,2.981,103
"Bay, FL",9.438,1.44,16.419,5.786,97
"Bay, MI",7.519,1.032,18.115,3.105,94
"Beaver, PA",5.238,0.901,16.879,3.491,91
"Bedford, VA",0.898,0.462,20.235,2.174,99
"Bell, TX",6.68,0.981,16.028,8.165,103
"Belmont, OH",8.263,1.175,15.343,4.005,89
"Benton, AR",6.849,1.15,18.11,3.019,95
"Benton, MN",3.356,0.689,15.223,2.567,97
"Benton, WA",7.87,0.98,20.172,12.451,98
"Bergen, NJ",10.86,1.216,33.844,3.319,92
"Berkeley, SC",2.876,0.642,13.242,1.809,102
"Berkeley, WV",6.919,1.118,15.882,4.681,99
"Berks, PA",8.19,1.181,20.778,2.924,94
"Berkshire, MA",8.692,1.433,21.518,5.958,92
"Bernalillo, NM",9.365,1.027,18.675,8.427,96
"Berrien, MI",6.588,1.063,17.693,3.428,92
"Bexar, TX",7.412,0.961,17.181,5.397,95
"Bibb, GA",9.705,1.071,18.663,4.389,87
"Black Hawk, IA",8.793,1.088,17.429,3.788,91
"Blair, PA",8.377,1.123,16.4,4.285,89
"Blount, AL",3.853,0.811,14.818,2.249,95
"Blount, TN",9.387,1.01,16.668,2.829,93
"Boone, IL",5.539,0.907,18.102,1.968,98
"Boone, IN",5.661,1.248,22.605,2.116,93
"Boone, KY",15.445,1.139,18.467,2.891,96
"Boone, MO",9.401,1.062,18.144,3.51,94
"Bossier, LA",6.641,0.965,15.975,6.94,94
"Botetourt, VA",3.596,0.882,17.322,2.251,101
"Boulder, CO",9.199,1.22,23.64,3.983,101
"Bourbon, KY",5.883,0.931,16.35,6.72,94
"Bowie, TX",8.894,1.152,16.584,6.836,93
"Boyd, KY",10.637,1.266,18.481,4.09,95
"Brazoria, TX",6.129,0.918,17.434,2.303,108
"Brazos, TX",7.741,0.884,13.826,2.828,106
"Brevard, FL",9.423,1.052,18.721,9.752,98
"Bristol, MA",8.087,1.09,18.308,3.429,92
"Bristol, RI",4.911,1.033,23.684,3.021,95
"Brooke, WV",4.048,0.886,14.917,3.512,92
"Broome, NY",7.698,1.123,19.146,3.975,93
"Broward, FL",11.309,1.181,22.908,3.788,92
"Brown, OH",3.155,0.863,14.559,2.491,97
"Brown, WI",9.12,1.045,19.87,2.72,96
"Brunswick, NC",5.919,1.373,14.414,3.73,96
"Bryan, GA",4.481,0.857,13.931,36.46,97
"Buchanan, MO",7.92,1.109,16.998,3.629,90
"Bucks, PA",9.887,1.043,24,2.655,97
"Bullitt, KY",3.125,0.789,14.001,3.429,100
"Buncombe, NC",8.919,1.263,18.488,3.906,91
"Burke, NC",5.827,0.987,15.744,2.625,96
"Burleigh, ND",9.708,1.153,18.748,5.716,94
"Burlington, NJ",8.452,0.912,23.296,5.129,98
"Butler, KS",4.901,0.942,18.384,2.393,99
"Butler, OH",5.014,0.776,18.347,2.325,94
"Butler, PA",6.906,1.079,18.672,3.176,96
"Butte, CA",7.029,1.074,16.217,3.637,96
"Cabarrus, NC",7.248,1.155,17.858,2.567,94
"Cabell, WV",9.515,1.135,17.581,4.831,88
"Caddo, LA",7.952,0.899,17.737,4.086,88
"Calcasieu, LA",7.539,0.957,16,3.765,94
"Caldwell, NC",5.959,1.199,15.876,2.268,97
"Caldwell, TX",3.852,0.958,12.998,2.869,100
"Calhoun, AL",7.046,1.144,15.195,6.465,93
"Calhoun, MI",7.522,0.963,17.987,4.615,94
"Calumet, WI",5.697,0.882,17.614,1.924,99
"Calvert, MD",5.283,0.911,20.461,2.634,99
"Cambria, PA",6.36,1.069,16.258,4.734,93
"Camden, NJ",7.173,0.929,21.701,3.794,93
"Cameron, TX",6.383,0.947,10.63,2.916,92
"Campbell, KY",5.359,0.837,16.887,3.184,92
"Campbell, VA",5.153,0.747,41.818,1.937,98
"Canadian, OK",5.217,1.016,16.627,3.152,101
"Canyon, ID",6.927,0.951,14.086,2.877,97
"Cape May, NJ",10.32,1.917,22.279,4.551,93
"Carbon, PA",4.967,1.206,16.467,3.57,94
"Carroll, GA",6.053,1.067,14.807,2.401,94
"Carroll, MD",7.41,1.104,21.766,3.524,97
"Carroll, OH",3.741,0.839,14.332,2.137,97
"Carter, KY",5.547,1.127,12.014,3.234,96
"Carter, TN",4.071,0.86,12.83,2.675,94
"Carver, MN",4.278,0.795,21.573,1.446,101
"Cascade, MT",9.216,1.246,17.756,8.187,98
"Cass, MO",4.995,0.895,17.185,2.396,96
"Cass, ND",10.419,1.048,19.167,3.87,99
"Cass, NE",3.856,1.042,18.126,2.931,100
"Catawba, NC",10.187,1.388,19.406,2.356,95
"Catoosa, GA",8.259,0.876,13.424,1.732,94
"Cayuga, NY",5.594,0.98,16.1,2.972,100
"Cecil, MD",7.022,0.88,17.908,3.185,100
"Centre, PA",7.062,1.03,16.708,3.594,107
"Chambers, TX",4.801,0.922,16.771,3.319,101
"Champaign, IL",7.632,0.921,17.247,3.883,102
"Charles City, VA",0.755,0.406,15.805,2.295,96
"Charles, MD",7.574,0.755,20.067,3.662,99
"Charleston, SC",9.783,1.235,17.974,8.404,97
"Charlotte, FL",6.977,1.016,17.624,4.201,93
"Chatham, GA",8.837,1.024,19.016,6.05,92
"Chatham, NC",4.251,0.957,18.857,2.221,95
"Chattahoochee, GA",0.152,0.219,14.362,4.748,191
"Chautauqua, NY",5.986,1.232,16.024,3.567,94
"Cheatham, TN",3.34,0.805,14.745,1.862,101
"Chemung, NY",7.135,1.117,17.257,3.807,94
"Cherokee, GA",4.091,0.682,17.171,1.252,101
"Cherokee, SC",5.872,0.975,13.681,2.384,92
"Chesapeake, VA",7.357,0.821,17.922,3.135,96
"Chester, PA",9.884,0.913,29.031,2.594,96
"Chester, TN",5.727,1.044,11.662,2.936,92
"Chesterfield, VA",7.508,0.787,22.224,1.116,96
"Chippewa, WI",7.534,1.115,16.157,3.905,98
"Chisago, MN",5.095,1.168,16.391,2.183,102
"Chittenden, VT",10.271,1.411,21.544,3.714,94
"Christian, KY",5.574,0.892,12.968,15.47,116
"Christian, MO",4.667,1.139,14.95,2.045,96
"Clackamas, OR",8.457,0.942,21.34,2.584,97
"Clark, IN",10.192,1.104,17.383,3.52,92
"Clark, KY",7.284,1.041,16.235,2.987,93
"Clark, NV",8.944,0.905,21.09,3.947,103
"Clark, OH",6.411,0.867,17.845,3.775,92
"Clark, WA",6.075,0.816,19.367,2.828,98
"Clarke, GA",9.744,1.132,16.2,3.97,91
"Clarke, VA",2.482,1.108,20.486,3.05,98
"Clay, FL",7.265,0.958,17.412,2.613,97
"Clay, IN",7.927,1.166,15.48,3.3,92
"Clay, MN",6.426,0.955,15.307,2.879,93
"Clay, MO",10.161,1.052,19.734,2.007,94
"Clayton, GA",10.921,0.959,16.847,1.976,95
"Clermont, OH",6.888,0.741,17.085,1.781,96
"Cleveland, OK",5.907,0.866,16.152,3.406,101
"Clinton, IL",5.521,1.062,18.066,2.487,104
"Clinton, IN",4.697,1.08,16.379,2.819,94
"Clinton, MI",5.31,0.804,17.417,3.224,99
"Clinton, MO",4.612,1.106,16.317,3.016,94
"Cobb, GA",9.974,1.08,23.196,7.032,97
"Coconino, AZ",8.743,1.291,14.762,3.572,99
"Colbert, AL",7.59,1.177,15.692,5.165,92
