City,Modelled_SO2_Concentration,Surface_Recession_Rate
"Washington,DC (Rural)",12,0.27
"Cincinnati,OH (Rural)",20,0.14
"Philadelphia,PA (Rura",20,0.33
"Richmond,VA",46,0.81
"Fall River,MA",48,0.84
"Hartford,CT",92,1.08
"Evanston,IL",91,1.78
"Albany,NY",94,1.21
"Washington,DC",102,1.09
"Louisville,KY",117,1.72
"Providence,RI",122,1.18
"Cambridge,MA",142,1.01
"Baltimore,MD",142,1.9
"Newark,NJ",178,1.98
"Boston,MA",180,1.53
"Pittsburgh,PA",197,2.71
"Cincinnati,OH",224,2.41
"Brooklyn,NY",234,1.61
"Philadelphia,PA",239,2.51
"Indianapolis,IN",244,2.15
"Chicago,IL",323,3.16
